CST_U_1,CST_U_2,CST_U_3,CST_U_4,CST_U_5,CST_U_6,CST_L_1,CST_L_2,CST_L_3,CST_L_4,CST_L_5,CST_L_6,AOA,RE_N,CD,CL
0.18282571,0.20736858,0.20600345,0.20748446,0.23230888,0.19698203,-0.07951815,-0.08010514,-0.06555548,0.03079434,0.06242428,0.15056343,17.8388,97830.1502,0.4785303991790193,1.510848462485747
0.29301995,0.33449782,0.25898729,0.32187019,0.26956619,0.22869302,-0.1589932,0.06421873,-0.12695065,0.07648787,-0.09589585,-0.13858955,4.8333,99818.1378,0.09324515811774461,0.5449563231461739
0.12331564,0.16268473,0.1011531,0.20200413,0.10114772,0.11120604,-0.09574093,-0.09124787,-0.08231097,-0.12472586,-0.02734934,-0.02147675,12.6012,27886.7689,0.24995520677966102,1.0586487809732095
0.39905675,0.44187867,0.22278102,0.41838663,0.02729175,0.51509934,-0.17678785,-0.20472431,-0.0480611,-0.35006756,0.08742874,-0.36817405,22.0,57008.7034,0.660101151556754,1.070837582838931
0.1621518,0.15448924,0.1066053,0.17236381,0.19604436,0.0714778,-0.08529099,-0.06492312,-0.10912931,-0.09032557,-0.11534414,-0.05347955,3.3857,89269.2558,0.021587270625,0.27559620069754465
0.14476653,0.2311642,0.18562179,0.16576399,0.16651875,0.15824824,-0.05212994,0.07172357,-0.05457821,0.10594294,-0.02237942,0.05140111,16.1236,48873.6457,0.3519701132794749,1.314268045947993
0.24563568,0.41730601,0.17885944,0.58661734,0.13147603,0.57329404,-0.20222476,-0.03691353,-0.11427399,-0.02311051,-0.07465433,-0.03913649,6.8914,20649.3402,0.12551761792145594,0.30958839607279687
0.23577142,0.24841774,0.21263767,0.3458254,0.26758375,0.40071695,-0.15360614,-0.1124688,-0.16492293,-0.29100078,-0.03744977,0.11033654,13.8493,21201.37,0.29955460423076924,0.6280531624615384
0.10535588,0.13362983,0.08718076,0.21502462,0.10663014,0.12382094,-0.10535589,-0.13362982,-0.08718079,-0.2150246,-0.10663017,-0.12382093,5.6125,59820.2896,0.036694187199777094,0.25138082070214546
0.16413706,0.25909521,0.12884645,0.36814943,0.17334192,0.24355754,-0.09719715,-0.14731871,-0.06484532,-0.17225754,-0.11865257,0.07797523,14.3736,21965.0062,0.30889442838616715,1.0080596407060518
0.17174319,0.22192835,0.20376284,0.24678553,0.22000905,0.23879676,-0.15211795,-0.15635454,-0.15882377,-0.17584614,-0.17419998,-0.18979831,3.7759,64199.2313,0.05204214751903808,0.6081388159318637
0.38960817,0.33198502,0.39588579,0.3285992,0.33576015,0.40404012,-0.29734888,-0.29723902,-0.20625248,-0.288905,-0.16059895,-0.27746179,7.6408,68378.8726,0.20188979259320827,0.3411536078784873
0.35731378,0.52902726,-0.15488116,0.50276643,-0.07274301,0.24620878,-0.25957641,-0.49553834,0.15130675,-0.36907439,0.11213661,-0.16642545,4.2086,28369.3899,0.20904836945945945,0.5635683656756757
0.37106317,0.52490129,0.51117828,0.33877633,0.20348241,0.56859016,-0.23008677,-0.22998207,-0.14659937,-0.56465431,0.09513738,-0.34846454,15.8697,23979.6022,0.4416403915976332,0.8534156875739645
0.22014873,0.48426663,0.19944751,0.59442386,0.221413,0.48825073,-0.15783412,0.00793783,-0.06900271,0.1881516,0.12107405,0.27637933,9.5268,80277.1436,0.23336844701652087,1.1148299918756073
0.11454436,0.15746377,0.12884193,0.17722549,0.17845088,0.20920433,-0.03769505,0.07271094,-0.03985093,0.07049056,-0.02095569,0.00256034,6.7199,76668.2771,0.05110691844526218,0.6197950238086477
0.1935277,0.27184913,0.19085394,0.25621041,0.20561939,0.12929465,-0.10871934,-0.00143163,-0.06519331,0.04048845,-0.00808605,0.0611543,2.9152,62350.6837,0.03495291420414462,0.42197132330246917
0.16495981,0.24030757,0.19123604,0.25049517,0.18936622,0.14335058,-0.08402542,-0.01256552,-0.03819501,0.02031572,-0.00586921,0.04758165,6.2691,47576.9104,0.06743709113199836,0.4841258776052309
0.08703115,0.07773139,0.06955382,0.10738289,0.04438476,0.12829406,-0.08750337,-0.07664402,-0.07117263,-0.10577182,-0.04545581,-0.127836,4.7184,42556.5489,0.039634341762886605,0.3145056307216495
0.07834752,0.09126543,0.11979402,0.11530426,0.10584571,0.09382014,-0.05683459,-0.0282473,-0.08704201,-0.02021737,-0.05853138,0.05380025,12.9426,39510.6415,0.24503176317914835,1.0853157761013217
0.15230323,0.20729245,0.16306798,0.25897912,0.13388388,0.21461237,-0.08078128,-0.03185818,-0.05242457,-0.01097773,-0.02130867,-0.00256578,12.4427,32533.251,0.21616242180481832,1.0464639987750102
0.30332557,0.35901454,0.31304149,0.38601642,0.30107124,0.38755847,-0.20716582,-0.19806158,-0.06985891,-0.10868582,0.02791031,0.00940414,15.9445,78741.7627,0.47175917091364683,1.339400564764842
0.22318748,0.3535218,0.20990891,0.52284019,0.12742229,0.35302861,-0.12290294,-0.16460536,-0.17811453,-0.24311599,0.01729637,0.15203311,-1.5715,92025.2679,0.07886741564806678,-0.20282419943801847
0.21613871,0.32527569,0.0376361,0.26734609,0.05274429,0.19948225,-0.21611053,-0.32533939,-0.03754214,-0.2674393,-0.05268231,-0.19950879,15.7378,28961.5127,0.3409693289033457,1.0190257894981412
0.13650308,0.25325821,0.09746148,0.26194661,0.15299843,0.21332848,-0.0526425,0.05328597,0.01217603,0.01334631,0.01808125,-0.03139699,17.1284,36001.1033,0.35822520901960786,1.295799814862745
0.40013974,0.49271579,0.36599683,0.40403523,0.4495357,0.45552912,-0.11180491,0.02616541,-0.1219254,0.04207641,-0.0971998,-0.08766164,9.0184,85875.708,0.2816176142924901,0.9807781607905138
